State,year,Business,Holiday,Other,Visiting,Total_Trips
ACT,1998,481.3948846,604.140999,94.5573815,672.7617353,1852.8550004
ACT,1999,592.3951572,628.0265662,80.844788,679.211085,1980.4775964
ACT,2000,613.6926217,581.8624057,148.550591,747.0918229,2091.1974413
ACT,2001,519.6329844,710.0094104,81.4831898,777.7680113,2088.8935959
ACT,2002,625.8643838,602.7649721,102.5340326,642.6326188,1973.7960073000002
ACT,2003,485.5537236,552.7712671,107.0438062,799.3072001,1944.675997
ACT,2004,499.2819712,493.6769628,148.8886576,739.2557949,1881.1033865
ACT,2005,639.4349049,503.5075496,85.8765747,758.466904,1987.2859331999998
ACT,2006,547.98206,526.45166,91.177074,727.177893,1892.788687
ACT,2007,639.1520682,482.412362,105.1641461,728.5439685,1955.2725448
ACT,2008,588.3757444,554.0118116,132.0846432,681.7610815,1956.2332807000003
ACT,2009,492.9559648,527.7586518,97.3020428,609.2529141,1727.2695735
ACT,2010,538.2654216,769.391121,118.3861712,654.6232913,2080.6660051
ACT,2011,544.9438422,519.7489942,117.2551307,617.4395517,1799.3875188
ACT,2012,618.1387293,462.4398744,98.2526428,758.4780448,1937.3092913
ACT,2013,583.1984817,642.0414234,103.65994,707.2828182,2036.1826633
ACT,2014,512.8450564,568.0714373,115.9373122,760.077692,1956.9314979
ACT,2015,655.9758768,552.5130269,174.2063895,812.2994987,2194.9947918999997
ACT,2016,754.8473044,732.627117,175.2399158,796.1860267,2458.9003639000002
New South Wales,1998,5280.587048,13058.40198,1063.893875,9832.943855,29235.826758000003
New South Wales,1999,5410.605923,12480.98549,1075.750118,9530.918101,28498.259631999998
New South Wales,2000,5227.085915,12598.91507,1126.099507,8938.792085,27890.892577
New South Wales,2001,5675.472236,12003.04052,1126.861587,9393.670705,28199.045048
New South Wales,2002,5618.564433,12440.45876,1156.708318,10290.6741,29506.405611000002
New South Wales,2003,5344.405875,11955.76073,989.9926418,10319.37848,28609.537726799997
New South Wales,2004,4903.226335,11643.02004,916.4462302,10365.83167,27828.524275199998
New South Wales,2005,4420.648405,10936.85276,1109.145683,9079.852322,25546.499170000003
New South Wales,2006,4347.148562,11358.77439,1000.191432,9855.476803,26561.591186999998
New South Wales,2007,4377.947369,11275.51771,1089.216453,9131.686176,25874.367708
New South Wales,2008,4428.40115,11618.78334,925.8089334,8958.686581,25931.680004399997
New South Wales,2009,4060.604835,11032.88989,990.5688237,8440.563362,24524.6269107
New South Wales,2010,4044.972515,11493.97582,1153.863771,8858.525234,25551.33734
New South Wales,2011,4797.25079,11261.45393,1185.807126,9330.330683,26574.842529
New South Wales,2012,4399.394553,11308.64748,1047.66185,9962.375416,26718.079298999997
New South Wales,2013,4579.899274,11784.49975,1233.395793,9926.879214,27524.674031000002
New South Wales,2014,4983.539268,11529.72759,1314.237643,10941.87469,28769.379191000004
New South Wales,2015,5578.684956,12012.77018,1474.951745,11016.69512,30083.102001
